Setting,Method,Merging,cluster_id,size,purity,mean_radius,nearest_cluster_dist,mean_prob,reliability_score,accepted,reason,sub_scores
VUP Filtering,VUP Filtering + Graph Merge,True,0,22,0.9090909090909091,1.7683929204940796,6.131357669830322,0.7476492036015695,0.588982448185867,True,accepted,"{'compactness': 0.36508690185348824, 'separation': 0.7485364127065545, 'hdb_prob': 0.7476492036015695}"
VUP Filtering,VUP Filtering + Graph Merge,True,1,70,1.0,1.6458463668823242,3.9425222873687744,0.9806475030799303,0.6090178205894876,True,accepted,"{'compactness': 0.39149068290766953, 'separation': 0.5883769420312903, 'hdb_prob': 0.9806475030799303}"
VUP Filtering,VUP Filtering + Graph Merge,True,2,30,0.9666666666666667,1.4990160465240479,4.9039764404296875,0.7511548192412625,0.5978993267584987,True,accepted,"{'compactness': 0.4256531309925509, 'separation': 0.6684961385455821, 'hdb_prob': 0.7511548192412625}"
VUP Filtering,VUP Filtering + Graph Merge,True,3,31,1.0,0.8513297438621521,5.1756181716918945,0.7904558756236342,0.6944379395785126,True,accepted,"{'compactness': 0.6156462980152254, 'separation': 0.6881631532440229, 'hdb_prob': 0.7904558756236342}"
VUP Filtering,VUP Filtering + Graph Merge,True,4,43,1.0,3.4499032497406006,4.48838996887207,0.813306637123512,0.4168663211312424,True,accepted,"{'compactness': 0.1400529737003041, 'separation': 0.6359804680448486, 'hdb_prob': 0.813306637123512}"
VUP Filtering,VUP Filtering + Graph Merge,True,5,50,0.98,1.475339651107788,4.394693374633789,0.8369233916018508,0.6098701006248862,True,accepted,"{'compactness': 0.43143438599631284, 'separation': 0.628219719092729, 'hdb_prob': 0.8369233916018508}"
VUP Filtering,VUP Filtering + Graph Merge,True,6,84,0.7857142857142857,2.727039098739624,3.8248531818389893,0.8506864119311165,0.47002464203614835,True,accepted,"{'compactness': 0.2114322187995639, 'separation': 0.5773261360229031, 'hdb_prob': 0.8506864119311165}"
VUP Filtering,VUP Filtering + Graph Merge,True,7,29,0.896551724137931,1.7416470050811768,5.396354675292969,0.8809632040696501,0.6123983661628647,True,accepted,"{'compactness': 0.37069331536388167, 'separation': 0.7032820715346582, 'hdb_prob': 0.8809632040696501}"
VUP Filtering,VUP Filtering + Graph Merge,True,8,89,0.9887640449438202,2.441676378250122,3.8248531818389893,0.9626537475318917,0.517081859100044,True,accepted,"{'compactness': 0.24876345508483325, 'separation': 0.5773261360229031, 'hdb_prob': 0.9626537475318917}"
VUP Filtering,VUP Filtering + Graph Merge,True,9,37,1.0,1.1731767654418945,4.795536518096924,0.8661325897846305,0.6642603986464989,True,accepted,"{'compactness': 0.512492496824134, 'separation': 0.6603028836116215, 'hdb_prob': 0.8661325897846305}"
VUP Filtering,VUP Filtering + Graph Merge,True,10,67,0.835820895522388,2.7583374977111816,3.9000563621520996,0.8580263626649126,0.47049089849215164,True,accepted,"{'compactness': 0.20769503487282112, 'separation': 0.5844225077802685, 'hdb_prob': 0.8580263626649126}"
VUP Filtering,VUP Filtering + Graph Merge,True,11,67,0.8955223880597015,2.6696114540100098,3.95572829246521,0.8955973846182665,0.48679998843839967,True,accepted,"{'compactness': 0.21846512749387878, 'separation': 0.5895990003473834, 'hdb_prob': 0.8955973846182665}"
